# Anteil der Bevölkerung nach Altersjahren seit 2005 an der Bevölkerung insgesamt*) 
# https://wwwstatistik-bwde/BevoelkGebiet/Alter/01035810tab?R=LA
# Land Baden-Württemberg 
Im_Alter_von;2005_n;2005_perc;2010_n;2010_perc;2015_n;2015_perc;2019_n;2019_perc
 82 Jahren ;52290;0.5;60183;0.6;57566;0.5;80987;0.7
 83 Jahren ;49565;0.5;52611;0.5;53548;0.5;74070;0.7
 84 Jahren ;48213;0.4;48700;0.5;50617;0.5;66281;0.6
 85 Jahren ;43303;0.4;44826;0.4;48515;0.4;55576;0.5
 86 Jahren ;29705;0.3;37654;0.4;42951;0.4;42589;0.4
 87 Jahren ;17098;0.2;33601;0.3;38092;0.4;37817;0.3
 88 Jahren ;13855;0.1;29995;0.3;31494;0.3;33961;0.3
 89 Jahren ;13177;0.1;27181;0.3;27306;0.3;30738;0.3
 90 und mehr Jahren ;79238;0.7;81696;0.8;91908;0.8;105482;1.0
Insgesamt ;10735701;100;10753880;100;10879618;100;11100394;100
